Treatment,Temperature,CO2,Tray,Number,Full_ID,Genotype,Population,Elevation,Cohort,Licor_E,Licor_A,Licor_Ca,Licor_Ci,Licor_gsw,Licor_LeafArea,Licor_dryLeafMass
T1,High,High,6,566,T1_6_566,213_1,213,2789.81,1,0.000732119,8.799383844,649.0484516,293.0355358,0.041264376,0.421649589,0.0031
T1,High,High,6,567,T1_6_567,107_4,107,3091,1,0.000971135,9.232807302,648.5155333,358.8078725,0.053979453,0.593191151,0.005
T1,High,High,6,570,T1_6_570,102_5,102,3072,1,0.000783362,6.895850417,648.4378667,385.2065158,0.044572105,0.851399552,0.0082
T1,High,High,6,579,T1_6_579,214_7,214,2693.59,2,0.000442962,3.402149201,648.8126129,416.7694055,0.025150906,1.306884334,0.0117
T1,High,High,6,580,T1_6_580,304_19A,304,3673,1,0.000679705,5.903487803,649.044129,382.0795548,0.03762152,0.591183978,0.005
T1,High,High,6,581,T1_6_581,66_4,66,2940,1,0.002473768,9.405238797,646.4228,429.0618598,0.079668892,1.289106521,0.0131
T1,High,High,7,591,T1_7_591,328_2,328,3660,1,0.003567907,7.379754342,648.0112333,570.6467009,0.20152657,0.825019571,0.0081
T1,High,High,7,596,T1_7_596,210_3,210,3161.3,2,0.001108469,4.337389598,649.3163548,516.6412284,0.060464728,0.535054834,0.0045
T1,High,High,7,598,T1_7_598,107_4,107,3091,1,0.001637828,5.513270096,649.7071,536.3282881,0.092347812,0.178423296,9e-04
T1,High,High,7,599,T1_7_599,66_4,66,2940,1,0.001206778,1.475559062,649.5507667,596.0969809,0.06710823,0.81469697,0.007
T1,High,High,7,619,T1_7_619,185_2,185,3411,2,0.000335675,6.17914214,649.6025806,127.642922,0.019378488,0.229176086,0.0017
T1,High,High,7,623,T1_7_623,211_13A,211,3121.58,1,0.001453867,7.199030232,648.2183548,487.7216013,0.081084155,0.877062686,0.0075
T1,High,High,7,628,T1_7_628,188_2,188,3126,1,0.002984523,3.43029565,649.5992258,599.0745346,0.170470973,0.299857231,0.0021
T1,High,High,7,630,T1_7_630,98_7,98,3011,2,0.000815504,8.987742556,647.4052581,321.2166111,0.046237438,1.100217254,0.0109
T1,High,High,7,646,T1_7_646,250_16,250,3133,2,0.000443579,6.313445313,649.1944516,227.842537,0.024773437,0.494768015,0.0039
T1,High,High,7,650,T1_7_650,304_19A,304,3673,1,0.000510854,6.653760196,648.0989032,267.3622668,0.029028462,1.085521884,0.0125
T1,High,High,7,666,T1_7_666,66_4,66,2940,1,0.00159857,8.020055325,648.4288,476.5650089,0.083726368,0.693908198,0.0054
T1,High,High,7,667,T1_7_667,102_5,102,3072,1,0.001600782,5.498495165,648.8773226,455.536021,0.053095966,0.680073045,0.0048
T1,High,High,7,670,T1_7_670,49_2,49,2935,1,0.001038867,3.553850001,649.3493871,533.5053443,0.057905296,0.614983309,0.0058
T1,High,High,7,682,T1_7_682,98_7,98,3011,2,0.000702304,4.736172651,648.9293548,442.0996899,0.039758163,0.816345719,0.0071
T2,High,Low,1,3,T2_1_3,212_7,212,3131,1,0.003392581,7.048114676,398.8130645,292.3129542,0.125031941,0.557993948,NA
T2,High,Low,1,12,T2_1_12,86_2,86,2880,1,0.001371466,3.77688539,398.8738,315.9701431,0.083041282,1.044661588,0.0065
T2,High,Low,1,15,T2_1_15,283_22,283,2890,2,0.002044798,5.573394446,398.9820323,312.1926777,0.117501406,0.630467211,0.0055
T2,High,Low,1,16,T2_1_16,86_2,86,2880,1,0.004810586,3.071161339,399.2035806,369.5399887,0.272632767,0.644875842,0.0044
T2,High,Low,1,19,T2_1_19,255_28,255,3341.67,1,0.00226483,7.693997387,397.9882258,292.813064,0.130612743,0.941507259,0.0097
T2,High,Low,1,29,T2_1_29,194_2,194,3108,1,0.001789673,1.198454683,399.8179355,352.7875211,0.064088871,0.36802941,0.0033
T2,High,Low,1,30,T2_1_30,269_15,269,2800,1,0.00193961,4.600531438,399.3189677,323.0645013,0.112472759,0.492043995,0.0043
T2,High,Low,1,44,T2_1_44,283_22,283,2890,2,0.005148783,6.888666861,398.8345484,312.6097431,0.164447791,0.506380941,0.0039
T2,High,Low,1,48,T2_1_48,1_3,1,2989,1,0.002253231,4.202862828,399.8277,336.1075778,0.127953201,0.134408871,0.0012
T2,High,Low,1,50,T2_1_50,66_4,66,2940,1,0.000304276,0.608987083,399.9251935,329.0253764,0.016272046,0.319642216,0.0023
T2,High,Low,1,51,T2_1_51,98_7,98,3011,2,0.000892533,4.554877749,398.7381667,244.0571833,0.050332554,1.010898079,0.0073
T2,High,Low,1,54,T2_1_54,107_4,107,3091,1,0.000300725,2.272446567,399.5707097,176.5610957,0.016953788,0.683657281,0.009
T2,High,Low,1,58,T2_1_58,194_2,194,3108,1,0.001540752,2.239105911,399.6732581,348.1549242,0.088197481,0.470825314,0.0045
T2,High,Low,1,73,T2_1_73,255_28,255,3341.67,1,0.001280232,5.458831245,398.8805806,270.9712444,0.074190681,0.73061078,0.008
T2,High,Low,1,74,T2_1_74,283_22,283,2890,2,0.002729136,8.303016611,398.4449,298.0550317,0.149666359,0.663728926,0.0056
T2,High,Low,1,81,T2_1_81,66_4,66,2940,1,0.001861778,4.016764219,398.3469,323.8091296,0.101729904,1.402296711,0.015
T2,High,Low,1,88,T2_1_88,48_2,48,2951,1,0.001308589,3.260033217,399.2937097,321.0214855,0.076860807,0.739499687,0.0057
T2,High,Low,2,99,T2_2_99,283_22,283,2890,2,0.002373093,2.86652258,399.5279667,349.4881881,0.121522941,0.492474103,0.0045
T2,High,Low,2,111,T2_2_111,212_7,212,3131,1,0.001529236,4.935939799,399.2124333,286.3587752,0.078012128,0.560216174,0.0047
T2,High,Low,2,129,T2_2_129,194_2,194,3108,1,0.000816301,2.659814865,399.6577333,292.4445245,0.044101476,0.43742023,0.0033
T2,High,Low,2,132,T2_2_132,56_3,56,3132,2,0.001906116,4.677076871,399.1406452,265.5087317,0.063986847,0.626954659,0.0059
T2,High,Low,2,136,T2_2_136,303_8,303,3570,1,0.002512993,2.620218048,399.5338387,358.958142,0.142918407,0.50136301,0.003
T2,High,Low,2,140,T2_2_140,56_3,56,3132,2,0.001541162,5.45514911,399.2139667,285.5758008,0.084946003,0.510395286,0.0048
T2,High,Low,2,167,T2_2_167,214_7,214,2693.59,2,0.002436796,9.896052266,398.0386,276.9269641,0.143620111,0.721005026,0.0041
T2,High,Low,2,179,T2_2_179,66_4,66,2940,1,0.001082711,4.036253733,398.926129,277.6825917,0.058434713,0.970252837,0.0083
T2,High,Low,2,191,T2_2_191,253_9,253,3460,1,0.000437414,1.946847198,399.8027333,266.3568206,0.025152015,0.399570692,0.0026
T2,High,Low,2,195,T2_2_195,1_3,1,2989,1,0.002336803,4.344550369,399.5985484,333.4913594,0.127494635,0.284660068,0.0028
T2,High,Low,3,198,T2_3_198,48_2,48,2951,1,0.000411339,1.530053639,399.9363548,282.3292083,0.022776138,0.202939474,0.0015
T2,High,Low,3,203,T2_3_203,1_3,1,2989,1,0.002456068,7.223897999,398.3035806,300.5865878,0.134097259,0.834123532,0.008
T2,High,Low,3,207,T2_3_207,86_2,86,2880,2,0.001446256,6.023096512,397.7565,270.9004048,0.08277679,1.376346839,0.0114
T2,High,Low,3,211,T2_3_211,269_15,269,2800,1,0.000612976,2.753680757,399.3763333,257.369502,0.033404263,0.84258233,0.0052
T2,High,Low,3,228,T2_3_228,56_3,56,3132,2,0.001046284,4.687779559,399.1163,262.2046742,0.059171397,0.692044395,0.0055
T2,High,Low,3,242,T2_3_242,91_2,91,2910,2,0.001023011,4.624197926,398.8860667,260.1391158,0.057539533,0.898496421,0.0073
T2,High,Low,3,248,T2_3_248,107_4,107,3091,1,0.002197187,6.330028371,399.1115484,306.33798,0.124037614,0.4906103,0.005
T2,High,Low,3,269,T2_3_269,328_2,328,3660,1,0.000851324,4.103004706,399.3129032,247.4578227,0.04634308,0.619499447,0.0056
T2,High,Low,3,278,T2_3_278,56_3,56,3132,2,0.002879797,6.498930404,399.433,323.9749514,0.162457929,0.291828541,0.0016
T2,High,Low,3,282,T2_3_282,303_8,303,3570,1,0.001468739,4.063314676,399.2545806,308.4093973,0.081477648,0.647169753,0.0063
T2,High,Low,3,283,T2_3_283,98_7,98,3011,2,0.001628107,3.006507289,399.0952581,330.0458879,0.08411713,0.988460758,0.0058
T2,High,Low,3,291,T2_3_291,212_7,212,3131,1,0.001802338,4.737144849,399.116129,257.3437295,0.060498424,0.649750403,0.0045
T2,High,Low,4,311,T2_4_311,162_2,162,3055,2,0.002826344,10.70768004,397.5581935,279.2234397,0.160214913,0.775413737,0.0084
T2,High,Low,4,335,T2_4_335,269_15,269,2800,1,0.000647717,2.288978611,399.483871,290.3987431,0.03698521,0.757850978,0.0062
T2,High,Low,4,343,T2_4_343,91_2,91,2910,2,0.00110232,3.304969315,399.0782903,304.2362369,0.062682062,0.975987615,0.008
T2,High,Low,4,349,T2_4_349,91_2,91,2910,2,0.000293293,2.513014444,399.6860333,145.0950151,0.016321687,0.458567225,0.0038
T2,High,Low,4,353,T2_4_353,81_1,81,3095,1,0.005738779,1.272832923,399.8643,372.8346833,0.210909395,0.144301364,0.0011
T2,High,Low,4,361,T2_4_361,253_9,253,3460,1,0.000970745,1.791258727,399.6891613,332.9255769,0.05171358,0.659714581,0.0038
T2,High,Low,5,407,T2_5_407,162_2,162,3055,2,0.001121548,2.777469427,399.4719,318.2402332,0.063026469,0.672904572,0.005
T2,High,Low,5,420,T2_5_420,273_18C,273,2710,2,0.001285708,6.615539146,399.1156129,248.2364076,0.075123295,0.481793078,0.0037
T2,High,Low,5,422,T2_5_422,214_7,214,2693.59,2,0.004536598,4.947158458,398.2700323,338.5952564,0.180643092,1.002152542,0.0081
T2,High,Low,5,484,T2_5_484,212_7,212,3131,1,0.001347973,3.418963271,398.8020667,315.1659,0.075188531,1.202152942,0.0103
T2,High,Low,6,512,T2_6_512,211_13A,211,3121.58,1,0.000601406,3.072952167,399.513,243.9019982,0.03369786,0.596130225,0.0051
T2,High,Low,6,517,T2_6_517,199_1,199,3502,2,0.002506629,5.339543107,398.433129,278.6547752,0.083343528,0.988102335,0.0082
T2,High,Low,6,520,T2_6_520,269_15,269,2800,1,0.001486778,3.884570468,398.9306667,259.7005696,0.050518729,0.950539535,0.0094
T2,High,Low,6,525,T2_6_525,162_2,162,3055,2,0.001180617,3.534513974,399.0362903,300.7088948,0.064647633,0.941650629,0.0075
T2,High,Low,6,538,T2_6_538,211_13A,211,3121.58,1,0.001552702,4.939473488,399.4151667,294.8759511,0.08455329,0.419212308,0.0033
T2,High,Low,6,540,T2_6_540,86_2,86,2880,1,0.001887527,8.269448104,398.5654667,264.7288173,0.107479487,0.638926009,0.0049
T2,High,Low,6,546,T2_6_546,107_4,107,3091,1,0.001494465,4.451658456,399.0407742,306.6232762,0.086944272,0.759714781,0.0076
T2,High,Low,6,549,T2_6_549,303_8,303,3570,1,0.000521146,2.606659339,399.5503333,247.9563457,0.029378028,0.645234265,0.0059
T2,High,Low,6,555,T2_6_555,194_2,194,3108,1,0.000363686,1.175623955,399.8484333,298.283275,0.020561861,0.440574358,0.0039
T2,High,Low,6,583,T2_6_583,199_1,199,3502,2,0.001485382,6.541111069,397.9670333,262.9099274,0.084010556,1.123801531,0.0114
T2,High,Low,7,617,T2_7_617,98_7,98,3011,2,0.000512681,3.43810012,399.2032333,197.6496577,0.028588367,0.847528577,0.0059
T2,High,Low,7,623,T2_7_623,48_2,48,2951,1,0.001543493,2.155207932,399.54,348.2432468,0.085958214,0.635771881,0.0043
T2,High,Low,7,627,T2_7_627,107_4,107,3091,1,0.000501807,4.844547326,399.0221333,107.9035495,0.027399061,0.774123412,0.0105
T2,High,Low,7,647,T2_7_647,328_2,328,3660,1,0.000378178,3.946858016,399.5548667,91.79499001,0.021046058,0.463370102,0.0041
T2,High,Low,7,663,T2_7_663,199_1,199,3502,2,0.002043554,1.375844944,399.8299032,368.7762059,0.112611233,0.341577744,0.0014
T2,High,Low,7,679,T2_7_679,214_7,214,2693.59,2,0.00264148,4.394628706,399.0316667,297.6958865,0.084618954,0.701721834,0.0054
T2,High,Low,7,684,T2_7_684,328_2,328,3660,1,0.001359732,6.187137747,399.0224667,259.453075,0.076638445,0.581506539,0.0033
T3,Low,Low,1,5,T3_1_5,107_4,107,3091,1,0.002321442,9.399060478,398.694129,305.1925725,0.177894828,0.512187404,NA
T3,Low,Low,1,8,T3_1_8,269_15,269,2800,1,0.000456839,3.550274949,399.178,262.9242114,0.043654414,0.880073445,NA
T3,Low,Low,1,10,T3_1_10,270_10,270,2553,1,0.003181676,5.798550217,398.9122667,350.9767359,0.238871249,0.611184018,0.0044
T3,Low,Low,1,13,T3_1_13,210_3,210,3161.3,2,0.000574054,0.272432419,399.8639333,381.5720135,0.043642909,1.183084803,0.0101
T3,Low,Low,1,17,T3_1_17,107_4,107,3091,1,0.001213889,5.668565331,398.0820323,294.5386616,0.095004284,1.251830461,0.0129
T3,Low,Low,1,18,T3_1_18,270_10,270,2553,1,0.001639595,2.448863477,399.4360645,359.3734759,0.124177708,0.731757736,0.0057
T3,Low,Low,1,30,T3_1_30,91_2,91,2910,2,0.001387728,3.552344674,399.1855161,342.8265979,0.116805762,0.781578624,0.008
T3,Low,Low,1,33,T3_1_33,255_28,255,3341.67,2,0.002965,10.55138113,394.2050333,312.4565105,0.232948078,1.972692117,0.0119
T3,Low,Low,1,41,T3_1_41,212_7,212,3131,1,0.001283045,4.754552025,398.9232258,310.3167307,0.094954755,0.822869029,0.0057
T3,Low,Low,1,46,T3_1_46,107_4,107,3091,1,0.000502627,0.426821113,399.8450645,374.5497696,0.039461866,0.980432068,0.0102
T3,Low,Low,1,53,T3_1_53,257_2,257,2754.1728,1,0.001935948,6.745503943,398.1072,317.1529342,0.149174061,1.003514552,0.0113
T3,Low,Low,1,62,T3_1_62,303_8,303,3570,1,0.000712711,2.136777803,399.4108667,325.8320741,0.052355908,1.02788736,0.0122
T3,Low,Low,1,94,T3_1_94,66_4,66,2940,1,0.000235919,1.951210384,399.6078,217.321821,0.017796681,0.735485342,0.0049
T3,Low,Low,2,106,T3_2_106,212_7,212,3131,1,0.002870563,7.261963296,397.079,334.7219965,0.218167253,1.392619273,0.0106
T3,Low,Low,2,111,T3_2_111,194_2,194,3108,1,0.000981027,3.401898041,399.2664333,318.2098461,0.074646158,0.763155648,0.0085
T3,Low,Low,2,145,T3_2_145,91_2,91,2910,2,0.004488062,11.37336275,398.9650968,335.2964843,0.338159734,0.319212108,0.0014
T3,Low,Low,2,156,T3_2_156,162_2,162,3055,2,0.000838333,3.933333275,398.9125667,291.0574732,0.063032884,0.998066512,0.0085
T3,Low,Low,2,165,T3_2_165,211_13A,211,3121.58,1,0.00042848,5.914520193,399.3811667,108.0440762,0.033188331,0.406237372,0.0042
T3,Low,Low,2,176,T3_2_176,269_15,269,2800,1,0.00202214,8.29022338,398.4878667,319.8253966,0.186789071,0.665521044,0.007
T3,Low,Low,2,189,T3_2_189,270_10,270,2553,1,0.001549652,4.388265437,398.8076,330.1379847,0.116757838,0.94924921,0.0078
T3,Low,Low,2,191,T3_2_191,211_13A,211,3121.58,1,0.000544731,5.447903145,398.9134667,189.3285367,0.042996075,0.779069658,0.0074
T3,Low,Low,3,197,T3_3_197,257_2,257,2754.1728,1,0.002198979,8.877621841,397.9633871,304.5649588,0.168067391,0.834051847,0.0083
T3,Low,Low,3,199,T3_3_199,102_5,102,3072,1,0.003107056,6.809303514,396.2581935,343.3523736,0.247188669,1.87455572,0.0162
T3,Low,Low,3,205,T3_3_205,212_7,212,3131,1,0.000721899,1.585573608,399.5128667,344.2957626,0.054018667,1.103586437,0.0081
T3,Low,Low,3,210,T3_3_210,194_2,194,3108,2,0.000236022,0.977858683,399.8804516,304.6353311,0.017854976,0.362222947,0.0031
T3,Low,Low,3,211,T3_3_211,283_22,283,2890,1,0.001766974,7.108744881,398.2004667,303.0728635,0.131681666,0.932976776,0.0092
T3,Low,Low,3,238,T3_3_238,328_2,328,3660,1,0.00227602,4.717898097,398.5582258,347.296122,0.176793648,1.016417803,0.0057
T3,Low,Low,3,244,T3_3_244,91_2,91,2910,2,0.000768554,3.188477396,399.4874516,304.2725931,0.05846072,0.548961671,0.0047
