Treatment,Temperature,CO2,Tray,Number,Full_ID,Genotype,Population,Elevation,Cohort,Licor_E,Licor_A,Licor_Ca,Licor_Ci,Licor_gsw,Licor_LeafArea,Licor_dryLeafMass
T3,Low,Low,7,636,T3_7_636,214_7,214,2693.59,2,0.000638035,3.970218081,398.9668387,263.906148,0.049783714,0.967958925,0.0085
T3,Low,Low,7,643,T3_7_643,107_4,107,3091,1,0.00055529,2.427469417,399.3871667,296.4945844,0.040919466,0.878568065,0.0089
T3,Low,Low,7,655,T3_7_655,211_13A,211,3121.58,1,0.000401125,2.896488014,399.0287097,232.5799783,0.029147169,1.261292845,0.0122
T4,Low,High,1,2,T4_1_2,253_9,253,3460,1,0.001183434,6.926427349,648.5289032,507.9124807,0.087350074,0.784015905,NA
T4,Low,High,1,27,T4_1_27,328_2,328,3660,1,0.000438282,4.963568822,648.8767742,397.3263648,0.033137868,0.861005306,0.005
T4,Low,High,1,42,T4_1_42,304_19A,304,3673,1,0.000854875,3.706448415,649.6804667,545.1761591,0.064983525,0.303226413,0.0074
T4,Low,High,1,52,T4_1_52,211_13A,211,3121.58,1,0.001197641,5.924658197,648.7828065,532.483531,0.092082321,0.747600062,0.0084
T4,Low,High,1,67,T4_1_67,211_13A,211,3121.58,1,0.000450808,3.510239272,649.4771935,470.8454578,0.033816208,0.564947366,0.0059
T4,Low,High,1,68,T4_1_68,255_28,255,3341.67,1,0.001101425,4.998551882,648.9792667,539.3422033,0.083177544,0.709822208,0.0061
T4,Low,High,1,72,T4_1_72,107_4,107,3091,1,0.001517855,6.85140246,649.7719667,541.2794635,0.115679708,0.114337146,0.0011
T4,Low,High,2,102,T4_2_102,91_2,91,2910,2,0.001039816,7.144359469,648.2747,486.3868859,0.077023386,0.887385287,0.0079
T4,Low,High,2,117,T4_2_117,253_9,253,3460,1,0.001451206,7.344433455,647.428871,527.5413142,0.110630769,1.250253397,0.0137
T4,Low,High,2,119,T4_2_119,48_2,48,2951,2,0.000442838,6.630255122,648.7750645,319.6876898,0.033388544,0.711901065,0.006
T4,Low,High,2,152,T4_2_152,107_4,107,3091,1,0.000364278,0.238259683,649.9649677,622.6124951,0.027570894,0.343083123,0.0039
T4,Low,High,2,159,T4_2_159,194_2,194,3108,1,0.000251454,5.564906791,649.2976,184.2571229,0.019544884,0.492545788,0.0043
